timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
1616142903,"Andhra Pradesh",Chittor,Kalikiri,Tomato,Local,19/03/2021,560,900,730
1616142903,"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,19/03/2021,500,800,650
1616142903,"Andhra Pradesh",Chittor,Vayalapadu,Tomato,Local,19/03/2021,680,1120,880
1616142903,"Andhra Pradesh","East Godavari",Rajahmundry,Paddy(Dhan)(Common),Paddy,19/03/2021,1868,1868,1868
1616142903,"Andhra Pradesh","East Godavari",Rajahmundry,Paddy(Dhan)(Common),"Swarna Masuri (New)",19/03/2021,1888,1888,1888
1616142903,"Andhra Pradesh",Kurnool,Allagadda,Jowar(Sorghum),"Jowar ( White)",19/03/2021,2450,2700,2560
1616142903,"Andhra Pradesh",Kurnool,Allagadda,Paddy(Dhan)(Common),Sona,19/03/2021,1800,2050,1950
1616142903,"Andhra Pradesh",Kurnool,Alur,Jowar(Sorghum),"Jowar ( White)",19/03/2021,2270,2370,2320
1616142903,"Andhra Pradesh",Kurnool,Atmakur,Paddy(Dhan)(Common),"Sona Mahsuri",19/03/2021,1800,1800,1800
1616142903,"Andhra Pradesh",Kurnool,Pattikonda,Onion,Local,19/03/2021,800,1000,900
1616142903,"Andhra Pradesh",Kurnool,Pattikonda,Tomato,Local,19/03/2021,800,1000,900
1616142903,"Andhra Pradesh","West Godavari",Chintalapudi,Maize,"Deshi Red",19/03/2021,1850,1850,1850
1616142903,Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),Paddy,19/03/2021,1350,1390,1370
1616142903,Chattisgarh,Bilaspur,Sakri,Paddy(Dhan)(Common),Paddy,19/03/2021,1400,1405,1400
1616142903,Chattisgarh,Bilaspur,Takhatpur,Lak(Teora),"Lak (Whole)",19/03/2021,2500,2500,2500
1616142903,Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,19/03/2021,1700,1700,1700
1616142903,Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,19/03/2021,1700,1700,1700
1616142903,Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,19/03/2021,1700,1700,1700
1616142903,Chattisgarh,Koria,Manendragarh,"Kodo Millet(Varagu)",Other,19/03/2021,1600,1600,1600
1616142903,Chattisgarh,Mungeli,Lormi,Paddy(Dhan)(Common),"Paddy fine",19/03/2021,1450,1450,1450
1616142903,Chattisgarh,Narayanpur,Narayanpur,Paddy(Dhan)(Common),"Paddy Coarse",19/03/2021,1250,1350,1300
1616142903,Chattisgarh,Narayanpur,Narayanpur,"Tamarind Seed","Tamarind Seed",19/03/2021,3100,3300,3200
1616142903,Chattisgarh,Raigarh,Raigarh,Onion,Other,19/03/2021,1900,2000,1900
1616142903,Chattisgarh,Raigarh,Raigarh,Potato,Other,19/03/2021,900,1100,900
1616142903,Chattisgarh,Raigarh,Raigarh,Tomato,Other,19/03/2021,800,1000,800
1616142903,Chattisgarh,Rajnandgaon,Gandai,"Bengal Gram(Gram)(Whole)","Desi (F.A.Q. Split)",19/03/2021,4500,4700,4620
1616142903,Chattisgarh,Surajpur,Pratappur,"Kodo Millet(Varagu)",Other,19/03/2021,1000,1000,1000
1616142903,Chattisgarh,Surajpur,Surajpur,Wheat,Other,19/03/2021,1930,1930,1930
1616142903,Goa,"North Goa",Ponda,Arecanut(Betelnut/Supari),Red,19/03/2021,33400,33400,33400
1616142903,Goa,"North Goa",Ponda,Arecanut(Betelnut/Supari),Supari,19/03/2021,36800,37200,37000
1616142903,Goa,"North Goa",Ponda,Arecanut(Betelnut/Supari),White,19/03/2021,34400,34400,34400
1616142903,Goa,"North Goa",Ponda,Cashewnuts,Local(Raw),19/03/2021,12700,12700,12700
1616142903,Gujarat,Amreli,Babra,Cotton,Other,19/03/2021,5175,6625,5900
1616142903,Gujarat,Amreli,Babra,"Cummin Seed(Jeera)",Other,19/03/2021,10200,13250,11725
1616142903,Gujarat,Amreli,Babra,Groundnut,Other,19/03/2021,5300,5550,5425
1616142903,Gujarat,Amreli,Bagasara,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",19/03/2021,5565,6600,6082
1616142903,Gujarat,Amreli,Bagasara,Cotton,Other,19/03/2021,4350,6180,5265
1616142903,Gujarat,Amreli,Bagasara,Wheat,"Lokwan Gujrat",19/03/2021,1565,1660,1612
1616142903,Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,19/03/2021,2300,2500,2400
1616142903,Gujarat,Amreli,Damnagar,Brinjal,Other,19/03/2021,900,1100,1000
1616142903,Gujarat,Amreli,Damnagar,Cabbage,Cabbage,19/03/2021,700,900,800
1616142903,Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,19/03/2021,600,800,700
1616142903,Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,19/03/2021,400,600,500
1616142903,Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",19/03/2021,2300,2500,2400
1616142903,Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",19/03/2021,1500,1700,1600
1616142903,Gujarat,Amreli,Damnagar,Guar,Gwar,19/03/2021,1800,2000,1900
1616142903,Gujarat,Amreli,Damnagar,Lemon,Lemon,19/03/2021,3300,3500,3400
1616142903,Gujarat,Amreli,Savarkundla,"Arhar (Tur/Red Gram)(Whole)","Small (Whole)",19/03/2021,5000,6250,5625
