"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","07/04/2021","500","800","700"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","07/04/2021","560","920","760"
"Andhra Pradesh","Guntur","Tenali","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","07/04/2021","6000","7100","6500"
"Andhra Pradesh","Guntur","Tenali","Lemon","Lemon","07/04/2021","4000","7000","5500"
"Andhra Pradesh","Kurnool","Alur","Jowar(Sorghum)","Jowar ( White)","07/04/2021","2280","2380","2330"
"Andhra Pradesh","Kurnool","Atmakur","Paddy(Dhan)(Common)","Sona Mahsuri","07/04/2021","1800","1800","1800"
"Andhra Pradesh","Kurnool","Nandikotkur","Bengal Gram(Gram)(Whole)","Gulabi","07/04/2021","4620","4620","4620"
"Andhra Pradesh","Kurnool","Nandikotkur","Maize","Hybrid","07/04/2021","1850","1850","1850"
"Andhra Pradesh","Kurnool","Nandikotkur","Paddy(Dhan)(Common)","Sona","07/04/2021","1800","1800","1800"
"Andhra Pradesh","Visakhapatnam","Anakapally","Gur(Jaggery)","NO 1","07/04/2021","2960","3400","3180"
"Andhra Pradesh","Visakhapatnam","Anakapally","Gur(Jaggery)","NO 2","07/04/2021","2930","3200","3065"
"Andhra Pradesh","Visakhapatnam","Anakapally","Gur(Jaggery)","NO 3","07/04/2021","2650","2910","2780"
"Chattisgarh","Narayanpur","Narayanpur","Tamarind Seed","Tamarind Seed","07/04/2021","3200","3400","3300"
"Gujarat","Amreli","Damnagar","Bhindi(Ladies Finger)","Bhindi","07/04/2021","1400","1600","1500"
"Gujarat","Amreli","Damnagar","Brinjal","Other","07/04/2021","1500","1700","1600"
"Gujarat","Amreli","Damnagar","Cabbage","Cabbage","07/04/2021","500","700","600"
"Gujarat","Amreli","Damnagar","Cauliflower","Cauliflower","07/04/2021","1400","1600","1500"
"Gujarat","Amreli","Damnagar","Coriander(Leaves)","Coriander","07/04/2021","400","600","500"
"Gujarat","Amreli","Damnagar","Ginger(Green)","Green Ginger","07/04/2021","2900","3100","3000"
"Gujarat","Amreli","Damnagar","Green Chilli","Green Chilly","07/04/2021","2100","2300","2200"
"Gujarat","Amreli","Damnagar","Guar","Gwar","07/04/2021","4800","6800","5800"
"Gujarat","Amreli","Damnagar","Lemon","Lemon","07/04/2021","4900","5100","5000"
"Gujarat","Anand","Khambhat(Veg Yard Khambhat)","Onion","Other","07/04/2021","700","1500","1100"
"Gujarat","Anand","Khambhat(Veg Yard Khambhat)","Potato","Other","07/04/2021","1100","1200","1150"
"Gujarat","Anand","Khambhat(Veg Yard Khambhat)","Tomato","Other","07/04/2021","300","600","450"
"Gujarat","Bharuch","Jambusar","Arhar (Tur/Red Gram)(Whole)","Other","07/04/2021","5600","6000","5800"
"Gujarat","Bharuch","Jambusar","Bajra(Pearl Millet/Cumbu)","Other","07/04/2021","1550","1750","1650"
"Gujarat","Bharuch","Jambusar","Castor Seed","Other","07/04/2021","3800","4200","4000"
"Gujarat","Bharuch","Jambusar","Cotton","Other","07/04/2021","4800","5200","5000"
"Gujarat","Bharuch","Jambusar","Jowar(Sorghum)","Other","07/04/2021","1800","2200","2000"
"Gujarat","Bharuch","Jambusar","Maize","Other","07/04/2021","1650","1850","1750"
"Gujarat","Bharuch","Jambusar","Wheat","Other","07/04/2021","1800","2000","1900"
"Gujarat","Bharuch","Jambusar(Kaavi)","Arhar (Tur/Red Gram)(Whole)","Other","07/04/2021","5800","6200","6000"
"Gujarat","Bharuch","Jambusar(Kaavi)","Castor Seed","Other","07/04/2021","4000","4400","4200"
"Gujarat","Bharuch","Jambusar(Kaavi)","Cotton","Other","07/04/2021","5000","5300","5200"
"Gujarat","Bharuch","Jambusar(Kaavi)","Jowar(Sorghum)","Other","07/04/2021","2000","2400","2200"
"Gujarat","Bharuch","Jambusar(Kaavi)","Maize","Other","07/04/2021","1600","1800","1700"
"Gujarat","Dahod","Davgadbaria(Piplod)","Paddy(Dhan)(Common)","Common","07/04/2021","1070","1090","1080"
"Gujarat","Dahod","Devgadhbaria","Maize","Deshi White","07/04/2021","1560","1580","1570"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)","Other","07/04/2021","3500","4000","3750"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Bitter gourd","Other","07/04/2021","500","500","500"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Bottle gourd","Other","07/04/2021","600","1000","800"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Brinjal","Brinjal","07/04/2021","600","600","600"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Green Chilli","Other","07/04/2021","1500","1500","1500"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Guar","Other","07/04/2021","4500","7000","5000"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Lemon","Other","07/04/2021","8000","8000","8000"
"Gujarat","Gandhinagar","Mansa(Manas Veg Yard)","Tomato","Other","07/04/2021","1000","1500","1250"
"Gujarat","Morbi","Vankaner(Sub yard)","Bhindi(Ladies Finger)","Other","07/04/2021","5000","6000","5500"
"Gujarat","Morbi","Vankaner(Sub yard)","Cabbage","Other","07/04/2021","400","500","450"
"Gujarat","Morbi","Vankaner(Sub yard)","Cauliflower","Other","07/04/2021","1000","1500","1250"
"Gujarat","Morbi","Vankaner(Sub yard)","Guar","Other","07/04/2021","6000","7000","6500"
"Gujarat","Morbi","Vankaner(Sub yard)","Lemon","Other","07/04/2021","6000","8000","7000"
"Gujarat","Morbi","Vankaner(Sub yard)","Tomato","Other","07/04/2021","1000","1500","1250"
"Gujarat","Narmada","Rajpipla","Banana","Other","07/04/2021","500","1350","800"
"Gujarat","Rajkot","Dhoraji","Corriander seed","Medium Green","07/04/2021","5625","6030","5905"
"Gujarat","Rajkot","Dhoraji","Cotton","H.B (Unginned)","07/04/2021","5630","6505","6255"
"Gujarat","Rajkot","Dhoraji","Wheat","Lokwan","07/04/2021","1405","1640","1550"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Bhindi(Ladies Finger)","Bhindi","07/04/2021","3500","5000","4250"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Brinjal","Brinjal","07/04/2021","500","1500","1000"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Cabbage","Cabbage","07/04/2021","200","300","250"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Carrot","Carrot","07/04/2021","500","800","650"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Cauliflower","Cauliflower","07/04/2021","1000","1500","1250"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Cucumbar(Kheera)","Cucumbar","07/04/2021","500","1500","1000"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Green Chilli","Green Chilly","07/04/2021","1000","5000","3000"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Guar","Gwar","07/04/2021","3000","5000","4000"
"Gujarat","Rajkot","Gondal(Veg.market Gondal)","Lemon","Other","07/04/2021","4000","10000","7000"
"Gujarat","Rajkot","Rajkot","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)","07/04/2021","5400","6500","6335"
"Gujarat","Rajkot","Rajkot","Bajra(Pearl Millet/Cumbu)","Deshi","07/04/2021","1105","1535","1425"
"Gujarat","Rajkot","Rajkot","Bengal Gram(Gram)(Whole)","Desi (Whole)","07/04/2021","4450","4755","4625"
"Gujarat","Rajkot","Rajkot","Black Gram (Urd Beans)(Whole)","Desi","07/04/2021","6300","7525","6750"
"Gujarat","Rajkot","Rajkot","Castor Seed","Caster","07/04/2021","4300","4710","4600"
"Gujarat","Rajkot","Rajkot","Corriander seed","Coriander Seed","07/04/2021","5625","7350","6200"
